year,price,engine_volume_l,engine_power_hp,mileage_km,evaluation,fuel_type_бензин,fuel_type_дизель,transmission_автомат,transmission_механика,transmission_робот,drivetrain_4WD,drivetrain_передний
0.6363636363636402,0.4202672605790646,0.18181818181818177,0.4285714285714285,0.1719834396687934,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.26614699331848557,0.18181818181818177,0.26857142857142857,0.2866817336346727,высокая цена,1,0,1,0,0,0,1
0.2727272727272805,0.1959910913140312,0.2727272727272727,0.37142857142857144,0.5599911998239965,нормальная цена,0,1,0,0,1,0,1
0.5,0.3452115812917595,0.18181818181818177,0.26857142857142857,0.373987479749595,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.1400890868596882,0.18181818181818177,0.26857142857142857,0.5856177123542471,хорошая цена,1,0,0,0,1,0,1
0.7272727272727337,0.4093541202672606,0.18181818181818177,0.4285714285714285,0.2959859197183944,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.23830734966592432,0.18181818181818177,0.26857142857142857,0.499989999799996,нормальная цена,1,0,1,0,0,0,1
0.45454545454545325,0.23830734966592432,0.18181818181818177,0.26857142857142857,0.499989999799996,нормальная цена,1,0,1,0,0,0,1
0.8636363636363598,0.6926503340757239,0.0,0.2571428571428571,0.056359127182543656,нормальная цена,1,0,0,0,1,0,1
0.681818181818187,0.3783964365256125,0.0,0.2571428571428571,0.2599851997039941,хорошая цена,1,0,0,0,1,0,1
0.45454545454545325,0.289532293986637,0.18181818181818177,0.26857142857142857,0.42080241604832097,высокая цена,1,0,1,0,0,0,1
0.681818181818187,0.47884187082405344,0.0,0.2571428571428571,0.16980139602792058,нормальная цена,1,0,0,0,1,0,1
0.18181818181818699,0.13340757238307352,0.18181818181818177,0.2571428571428571,0.49520590411808235,нормальная цена,1,0,1,0,0,0,1
0.681818181818187,0.4610244988864143,0.0,0.2571428571428571,0.274817496349927,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.5902004454342984,0.2727272727272727,0.20000000000000007,0.10798215964319285,нормальная цена,0,1,0,0,1,0,1
0.681818181818187,0.41202672605790647,0.0,0.2571428571428571,0.3199863997279946,нормальная цена,1,0,0,0,1,0,1
0.4090909090909065,0.2115812917594655,0.18181818181818177,0.26857142857142857,0.1999839996799936,хорошая цена,1,0,0,0,1,0,1
0.3181818181818272,0.22271714922049,0.18181818181818177,0.3142857142857143,0.41998839976799535,нормальная цена,1,0,0,0,1,0,1
0.5,0.2893095768374165,0.18181818181818177,0.26857142857142857,0.5017640352807056,нормальная цена,1,0,1,0,0,0,1
0.7727272727272805,0.33407550111358575,0.0,0.2571428571428571,0.12398247964959298,нормальная цена,1,0,0,0,1,0,1
0.5454545454545467,0.311804008908686,0.18181818181818177,0.26857142857142857,0.3899877997559951,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.5434298440979956,0.0,0.2571428571428571,0.13951079021580431,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.21102449888641428,0.18181818181818177,0.26857142857142857,0.6999939998799976,нормальная цена,1,0,1,0,0,0,1
0.4090909090909065,0.21581291759465482,0.2727272727272727,0.20000000000000007,0.47598951979039583,нормальная цена,0,1,0,0,1,0,1
0.681818181818187,0.48329621380846327,0.18181818181818177,0.4285714285714285,0.24078881577631553,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.1380846325167038,0.18181818181818177,0.26857142857142857,0.7999959999199984,нормальная цена,1,0,1,0,0,0,1
0.45454545454545325,0.35634743875278396,0.9999999999999999,0.8857142857142858,0.49098981979639594,нормальная цена,1,0,0,0,1,1,0
0.7272727272727337,0.4810690423162584,0.18181818181818177,0.4285714285714285,0.2619852397047941,нормальная цена,1,0,0,0,1,0,1
0.5,0.2358574610244989,0.18181818181818177,0.26857142857142857,0.41998839976799535,нормальная цена,1,0,0,0,1,0,1
0.4090909090909065,0.3073496659242762,0.2727272727272727,0.20000000000000007,0.369987399747995,высокая цена,0,1,0,0,1,0,1
0.5,0.27839643652561247,0.18181818181818177,0.3142857142857143,0.5979919598391967,нормальная цена,1,0,1,0,0,0,1
0.8181818181818272,0.7280623608017818,0.2727272727272727,0.48571428571428565,0.0999819996399928,нормальная цена,1,0,0,0,1,0,1
0.5,0.29799554565701564,0.18181818181818177,0.26857142857142857,0.2543510870217404,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.5200445434298441,0.0,0.2571428571428571,0.19368787375747515,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.7438752783964365,0.2727272727272727,0.48571428571428565,0.05798115962319247,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.2516703786191537,0.18181818181818177,0.26857142857142857,0.44418888377767557,нормальная цена,1,0,0,0,1,0,1
0.4090909090909065,0.2717149220489978,0.18181818181818177,0.26857142857142857,0.3997879957599152,высокая цена,1,0,1,0,0,0,1
0.4090909090909065,0.21135857461024501,0.18181818181818177,0.26857142857142857,0.3659873197463949,нормальная цена,1,0,1,0,0,0,1
0.5,0.3338530066815145,0.18181818181818177,0.26857142857142857,0.6393567871357426,нормальная цена,1,0,1,0,0,0,1
0.45454545454545325,0.2561247216035635,0.2727272727272727,0.5428571428571428,0.375987519750395,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.178173719376392,0.18181818181818177,0.26857142857142857,0.4499889997799956,хорошая цена,1,0,0,0,1,0,1
0.8636363636363598,0.6120267260579064,0.0,0.2571428571428571,0.1639832796655933,нормальная цена,1,0,0,0,1,0,1
1.0,1.0,0.2727272727272727,0.46285714285714297,0.0,нормальная цена,1,0,0,0,1,0,1
0.5,0.2984409799554566,0.18181818181818177,0.26857142857142857,0.3669873397467949,нормальная цена,1,0,1,0,0,0,1
0.681818181818187,0.32271714922049,0.0,0.2571428571428571,0.31959239184783694,хорошая цена,1,0,0,0,1,0,1
0.681818181818187,0.44543429844098,0.2727272727272727,0.48571428571428565,0.3599871997439949,нормальная цена,0,1,0,0,1,0,1
0.8636363636363598,0.6229398663697104,0.0,0.2571428571428571,0.16462329246584934,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.33407572383073497,0.18181818181818177,0.26857142857142857,0.4640432808656173,высокая цена,1,0,0,0,1,0,1
0.45454545454545325,0.0,0.2727272727272727,0.20000000000000007,0.23998479969599393,нормальная цена,0,1,0,0,1,0,1
0.6363636363636402,0.4209354120267261,0.2727272727272727,1.0,0.32918458369167386,нормальная цена,1,0,0,0,1,1,0
0.5,0.3763919821826281,0.18181818181818177,0.26857142857142857,0.08998179963599272,нормальная цена,1,0,0,0,1,0,1
0.5909090909090935,0.2906458797327394,0.18181818181818177,0.26857142857142857,0.36715334306686137,нормальная цена,1,0,0,0,1,0,1
0.7727272727272805,0.6013363028953229,0.0,0.2571428571428571,0.06775335506710134,нормальная цена,1,0,0,0,1,0,1
0.36363636363635976,0.2561247216035635,0.18181818181818177,0.3142857142857143,0.6999939998799976,высокая цена,1,0,0,0,1,0,1
0.36363636363635976,0.23385300668151449,0.18181818181818177,0.26857142857142857,0.3859877197543951,нормальная цена,1,0,0,0,1,0,1
0.6363636363636402,0.5790645879732739,0.18181818181818177,0.4285714285714285,0.17998359967199345,высокая цена,1,0,0,0,1,0,1
0.8636363636363598,0.5679287305122495,0.0,0.2571428571428571,0.08198163963279265,нормальная цена,1,0,0,0,1,0,1
0.45454545454545325,0.24432071269487754,0.18181818181818177,0.26857142857142857,0.3959879197583952,нормальная цена,1,0,1,0,0,0,1
0.8181818181818272,0.7115812917594655,0.0,0.2571428571428571,0.15852917058341168,нормальная цена,1,0,0,0,1,0,1
0.13636363636364024,0.0712694877505568,0.6363636363636364,0.5028571428571428,0.4099881997639953,хорошая цена,1,0,1,0,0,0,1
0.4090909090909065,0.25033407572383076,0.22727272727272718,0.0,0.4599891997839957,нормальная цена,0,1,0,1,0,0,1
0.2727272727272805,0.1848552338530067,0.18181818181818177,0.2571428571428571,0.2899857997159943,нормальная цена,1,0,1,0,0,0,1
0.7272727272727337,0.44209354120267264,0.18181818181818177,0.4285714285714285,0.20634412688253767,нормальная цена,1,0,0,0,1,0,1
