year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2019	2293000	1.8	180	бензин	робот	передний	141835	нормальная цена
2006	895000	1.8	150	бензин	механика	передний	210000	нормальная цена
2004	600000	1.8	150	бензин	механика	передний	233000	нормальная цена
2008	1040000	1.8	160	бензин	механика	передний	257000	нормальная цена
2015	2100000	1.8	180	бензин	робот	передний	141989	нормальная цена
2014	1330000	1.8	152	бензин	робот	передний	190000	нормальная цена
2006	339000	1.8	150	бензин	автомат	передний	210000	Unknown
2004	380000	1.8	150	бензин	автомат	передний	221073	нормальная цена
2017	1750000	1.8	180	бензин	робот	передний	200000	нормальная цена
2013	1000000	1.8	152	бензин	робот	передний	244000	хорошая цена
2007	650000	1.8	150	бензин	автомат	передний	346000	нормальная цена
2021	2650000	1.4	150	бензин	робот	передний	54000	нормальная цена
2019	2475000	1.4	150	бензин	робот	передний	52993	нормальная цена
2006	539099	1.8	150	бензин	механика	передний	210000	нормальная цена
2021	3140000	1.4	150	бензин	робот	передний	49099	нормальная цена
2018	1770000	1.4	150	бензин	робот	передний	140338	хорошая цена
2017	2250000	1.4	150	бензин	робот	передний	75859	нормальная цена
2010	1500000	1.8	152	бензин	робот	передний	224000	Unknown
2018	1995000	1.4	150	бензин	робот	передний	150973	нормальная цена
2016	1699000	1.4	150	бензин	робот	передний	155000	нормальная цена
2018	2330000	1.4	150	бензин	робот	передний	120605	нормальная цена
2013	1400000	1.8	152	бензин	робот	передний	180000	нормальная цена
2004	430000	1.8	150	бензин	автомат	передний	333704	нормальная цена
2017	2275000	1.4	150	бензин	робот	передний	98329	нормальная цена
2012	1299000	2.0	140	дизель	робот	передний	224363	нормальная цена
2018	2340000	1.4	150	бензин	робот	передний	52984	нормальная цена
2013	1750000	1.8	152	бензин	робот	передний	173000	нормальная цена
2013	1390000	1.8	152	бензин	робот	передний	252000	нормальная цена
2019	2659000	1.4	150	бензин	робот	передний	44512	нормальная цена
2019	2750000	1.4	150	бензин	робот	передний	53771	нормальная цена
2010	1050000	1.8	152	бензин	механика	передний	136000	нормальная цена
2014	1230000	1.8	152	бензин	робот	передний	240425	нормальная цена
2012	1019000	1.8	152	бензин	автомат	передний	324000	нормальная цена
2008	780000	1.8	160	бензин	механика	передний	215000	хорошая цена
2019	2250000	1.4	150	бензин	робот	передний	84375	нормальная цена
2012	1299000	2.0	140	дизель	робот	передний	224363	нормальная цена
2018	2530000	2.0	190	дизель	робот	4WD	286022	нормальная цена
2012	1390000	2.0	140	дизель	робот	передний	273000	нормальная цена
2011	1800000	2.0	200	бензин	робот	передний	210000	высокая цена
2015	1675000	1.8	180	бензин	робот	передний	245000	нормальная цена
2010	1100000	1.8	152	бензин	робот	передний	210159	нормальная цена
2016	1689000	1.4	150	бензин	робот	передний	120465	хорошая цена
2013	1260000	1.8	152	бензин	робот	передний	201000	нормальная цена
2016	1810000	1.4	150	бензин	робот	передний	190000	нормальная цена
2015	1690000	1.8	180	бензин	робот	передний	217913	нормальная цена
2011	1099000	1.8	152	бензин	механика	передний	230000	нормальная цена
2008	1200000	1.8	160	бензин	робот	передний	157000	нормальная цена
2018	2461202	1.8	180	бензин	робот	передний	98420	нормальная цена
2010	1068200	1.8	152	бензин	робот	передний	201944	нормальная цена
2019	2200000	1.8	180	бензин	робот	передний	76000	Unknown
2019	3850000	2.0	190	дизель	робот	передний	108000	высокая цена
2012	1420000	2.0	140	дизель	робот	передний	390000	нормальная цена
2013	1095000	1.8	152	бензин	автомат	передний	213468	хорошая цена
2018	2500000	1.8	180	бензин	робот	передний	120000	нормальная цена
2019	2049000	1.6	120	дизель	автомат	передний	184998	нормальная цена
2009	750000	1.8	160	бензин	механика	передний	213000	Unknown
2013	1350000	1.8	152	бензин	автомат	передний	115533	нормальная цена
2002	460000	1.8	150	бензин	механика	передний	470000	нормальная цена
2011	1350000	1.8	152	бензин	автомат	передний	232000	нормальная цена
2009	1200000	1.8	152	бензин	робот	передний	270000	нормальная цена
2012	1550000	2.0	200	бензин	робот	передний	115000	нормальная цена
2018	1600000	1.8	180	бензин	робот	передний	369500	нормальная цена
2021	4500000	2.0	280	бензин	робот	4WD	90000	нормальная цена
2012	960000	1.8	152	бензин	автомат	передний	229000	Unknown
2014	1700000	1.8	152	бензин	робот	передний	140000	нормальная цена
