year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2011	1350000	1.8	152	бензин	автомат	передний	154000	нормальная цена
2012	1350000	1.8	152	бензин	автомат	передний	225000	нормальная цена
2013	1925000	2.0	200	бензин	робот	передний	144000	нормальная цена
2016	1999000	1.8	180	бензин	робот	передний	200000	нормальная цена
2004	510000	2.8	193	бензин	автомат	передний	250000	Unknown
2012	1200000	1.8	152	бензин	автомат	передний	303120	нормальная цена
2018	2599000	1.4	150	бензин	робот	передний	53000	нормальная цена
2011	750000	1.8	152	бензин	автомат	передний	298144	отличная цена
2015	2000000	2.0	200	бензин	автомат	4WD	220000	нормальная цена
2020	2943000	2.0	190	бензин	робот	передний	97729	нормальная цена
2018	2550000	1.4	150	бензин	робот	передний	97000	нормальная цена
2021	2770000	1.4	150	бензин	робот	передний	70000	нормальная цена
2010	1500000	1.8	152	бензин	робот	передний	156000	высокая цена
2009	1200000	1.8	152	бензин	робот	передний	242000	нормальная цена
2013	1537000	3.6	260	бензин	робот	4WD	209328	нормальная цена
2002	600000	2.5	155	дизель	механика	передний	344931	нормальная цена
2013	1719000	2.0	200	бензин	робот	передний	135000	нормальная цена
2010	1450000	3.6	260	бензин	робот	4WD	280000	нормальная цена
2016	1770000	1.8	180	бензин	робот	передний	139839	нормальная цена
2018	2960000	1.4	150	бензин	робот	передний	24313	нормальная цена
2003	535000	2.8	193	бензин	автомат	передний	500000	Unknown
2010	899999	1.8	152	бензин	робот	передний	302000	нормальная цена
2010	620000	1.8	152	бензин	автомат	передний	280211	Unknown
2007	780000	1.8	150	бензин	автомат	передний	192000	нормальная цена
2010	1250000	1.8	152	бензин	робот	передний	228000	высокая цена
2009	750000	1.8	152	бензин	робот	передний	340000	Unknown
2009	1100000	1.8	152	бензин	робот	передний	230000	нормальная цена
2013	1300000	1.8	152	бензин	робот	передний	300000	нормальная цена
2012	1100000	1.8	152	бензин	автомат	передний	243000	нормальная цена
2013	1199000	1.8	152	бензин	робот	передний	250160	нормальная цена
2013	999000	1.8	152	бензин	автомат	передний	138362	отличная цена
2014	1369000	1.8	160	бензин	механика	4WD	249350	Unknown
2011	1230000	1.8	152	бензин	робот	передний	240000	Unknown
2009	900000	1.8	152	бензин	робот	передний	191000	Unknown
2006	500000	1.8	150	бензин	механика	передний	322000	нормальная цена
2013	1200000	1.8	152	бензин	робот	передний	206000	нормальная цена
2018	1979000	1.4	150	бензин	робот	передний	97000	хорошая цена
2013	1128000	1.8	152	бензин	автомат	передний	254000	нормальная цена
2010	1090000	1.8	152	бензин	робот	передний	247000	нормальная цена
2016	2240000	1.8	180	бензин	робот	передний	168726	нормальная цена
2017	1850000	1.6	120	дизель	механика	передний	193000	нормальная цена
2013	1550000	2.0	140	дизель	робот	передний	222000	нормальная цена
2018	2199000	1.8	180	бензин	робот	передний	147000	нормальная цена
2012	560000	1.8	152	бензин	механика	передний	216400	Unknown
2013	1545000	2.0	200	бензин	робот	передний	233000	нормальная цена
2018	2839000	1.8	180	бензин	робот	передний	48186	нормальная цена
2013	1490000	2.0	200	бензин	робот	передний	233000	нормальная цена
2011	1125000	1.8	152	бензин	механика	передний	220581	нормальная цена
2013	1500000	2.0	200	бензин	робот	передний	216000	нормальная цена
2024	3609000	1.4	150	бензин	робот	передний	58	нормальная цена
2011	1150000	1.8	152	бензин	автомат	передний	280000	нормальная цена
2016	3000000	2.0	280	бензин	робот	4WD	142000	нормальная цена
2010	1085000	1.8	152	бензин	робот	передний	216606	нормальная цена
2008	1200000	1.8	160	бензин	механика	передний	160618	нормальная цена
2012	850000	1.8	152	бензин	автомат	передний	194646	отличная цена
2012	1440000	2.0	200	бензин	робот	передний	225000	высокая цена
2013	1399000	1.8	152	бензин	автомат	передний	250887	нормальная цена
2009	832912	1.8	152	бензин	робот	передний	248099	нормальная цена
2009	899000	1.8	152	бензин	робот	передний	173916	хорошая цена
2010	850000	1.8	152	бензин	робот	передний	175325	хорошая цена
2013	1399000	1.8	152	бензин	автомат	передний	250887	нормальная цена
2006	710000	1.8	150	бензин	автомат	передний	295000	нормальная цена
2012	818000	1.8	152	бензин	автомат	передний	362250	хорошая цена
2017	2260000	1.8	180	бензин	робот	передний	138885	Unknown
2013	1180000	1.8	152	бензин	робот	передний	164000	Unknown
2010	750000	1.8	152	бензин	робот	передний	230000	Unknown
2011	1120000	1.8	152	бензин	робот	передний	198000	нормальная цена
2018	1999000	1.4	150	бензин	робот	передний	124000	нормальная цена
2013	1780000	2.0	200	бензин	робот	передний	176000	нормальная цена
2015	1809777	1.4	150	бензин	робот	передний	113557	нормальная цена
2011	1068000	1.6	105	дизель	механика	передний	298000	Unknown
2002	650000	1.8	150	бензин	механика	передний	330000	Unknown
2013	1300000	2.0	200	бензин	робот	передний	212000	Unknown
2018	1935000	1.4	150	бензин	робот	передний	120000	хорошая цена
2010	900000	1.8	152	бензин	робот	передний	188900	хорошая цена
2014	1010000	1.8	152	бензин	робот	передний	168000	Unknown
2007	430000	1.8	150	бензин	механика	передний	221840	отличная цена
2017	2439000	1.8	180	бензин	робот	передний	77369	нормальная цена
2021	2879000	2.0	190	бензин	робот	передний	60011	хорошая цена
2007	1180000	1.8	150	бензин	автомат	передний	137000	нормальная цена
2021	2759000	1.4	150	бензин	робот	передний	89780	нормальная цена
2021	2650000	1.4	150	бензин	робот	передний	103656	нормальная цена
2011	930000	1.8	152	бензин	робот	передний	228000	хорошая цена
2014	1390000	1.8	152	бензин	робот	передний	230000	нормальная цена
2013	1809000	1.8	152	бензин	робот	передний	297000	высокая цена
2016	3750000	2.0	280	бензин	робот	4WD	99400	нормальная цена
2019	2475000	2.0	272	бензин	робот	4WD	160000	Unknown
2016	2100000	2.0	220	бензин	робот	передний	200000	нормальная цена
2023	4050000	2.0	186	бензин	робот	передний	6134	нормальная цена
2019	2250000	1.4	150	бензин	робот	передний	155899	нормальная цена
2019	2690000	1.4	150	бензин	робот	передний	59160	нормальная цена
2016	1640000	1.4	150	бензин	робот	передний	172000	Unknown
2010	1180000	1.8	152	бензин	робот	передний	210000	нормальная цена
2014	1685000	2.0	140	дизель	робот	передний	110900	нормальная цена
2016	2200000	1.4	150	бензин	механика	передний	135000	нормальная цена
2010	850000	2.0	140	дизель	робот	передний	370670	нормальная цена
2014	1350000	1.8	152	бензин	робот	передний	250000	Unknown
